,id,proto,srcip,dstip,srcport,dstport,payload_size,shannon,bien,tbien,flow
1,vZi1GHwBASTB4nx9_AOq,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6117847331849867,0.944396319932924,0.9861828719081936,127.0.0.1:1151 -> 127.0.0.1:8088
3,wZi1GHwBASTB4nx9_AOq,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5986637137019408,0.4571594169819005,0.9797812335395746,127.0.0.1:1151 -> 127.0.0.1:8088
5,yZi1GHwBASTB4nx9_AOq,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6035451409417866,0.9175436228417042,0.9730635585314046,127.0.0.1:1151 -> 127.0.0.1:8088
7,zZi1GHwBASTB4nx9_AOq,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5862811941650569,0.4714371421601958,0.9852336796868372,127.0.0.1:1151 -> 127.0.0.1:8088
10,kZi1GHwBASTB4nx9_AOU,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6086512214197,0.4510789327262978,0.9795601650160448,127.0.0.1:1151 -> 127.0.0.1:8088
13,4Zi1GHwBASTB4nx9_AOq,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6123232907254046,0.9141698554076586,0.9725787800328286,127.0.0.1:1151 -> 127.0.0.1:8088
14,lZi1GHwBASTB4nx9_AOU,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6076947840778797,0.2427056902528123,0.976487293891998,127.0.0.1:1151 -> 127.0.0.1:8088
16,5Zi1GHwBASTB4nx9_AOq,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6134905197267929,0.4531033919001396,0.9830199191614118,127.0.0.1:1151 -> 127.0.0.1:8088
18,mZi1GHwBASTB4nx9_AOU,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5945140705658477,0.0075796089724489,0.956297817873255,127.0.0.1:1151 -> 127.0.0.1:8088
20,nZi1GHwBASTB4nx9_AOU,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6064253022210714,0.9404358111439884,0.9861796231758984,127.0.0.1:1151 -> 127.0.0.1:8088
23,qZi1GHwBASTB4nx9_AOU,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5852157881254074,0.1132562536284257,0.974506751397514,127.0.0.1:1151 -> 127.0.0.1:8088
25,rZi1GHwBASTB4nx9_AOU,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5799473308694069,0.4582708521850979,0.9819999867604252,127.0.0.1:1151 -> 127.0.0.1:8088
27,sZi1GHwBASTB4nx9_AOU,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.602813786731715,0.926588155057082,0.985468358684236,127.0.0.1:1151 -> 127.0.0.1:8088
29,tZi1GHwBASTB4nx9_AOU,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6294357099778712,0.4512023239163455,0.9801631979686838,127.0.0.1:1151 -> 127.0.0.1:8088
31,uZi1GHwBASTB4nx9_AOU,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6035939857169486,0.9512633401502882,0.9871029852447534,127.0.0.1:1151 -> 127.0.0.1:8088
32,-Zi1GHwBASTB4nx9_gNC,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6253529066068547,0.4571454409581085,0.9810500065130668,127.0.0.1:1151 -> 127.0.0.1:8088
34,_Zi1GHwBASTB4nx9_gND,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5919608153800505,0.4590050026216514,0.9836609883822148,127.0.0.1:1151 -> 127.0.0.1:8088
36,AZi1GHwBASTB4nx9_gRD,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6028554857707867,0.9506972184864204,0.9893535705471042,127.0.0.1:1151 -> 127.0.0.1:8088
38,BZi1GHwBASTB4nx9_gRD,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6331561941650568,0.9265884662821148,0.9852386951298416,127.0.0.1:1151 -> 127.0.0.1:8088
