,id,proto,srcip,dstip,srcport,dstport,payload_size,shannon,bien,tbien
832,KgsS5XsBbrWx0LVuEYc6,tcp,127.0.0.1,127.0.0.1,1089,8088,112,3.7004497333099873,0.9486934557298096,0.995089016032284
1339,9wsS5XsBbrWx0LVuJ4wT,tcp,127.0.0.1,127.0.0.1,1155,8088,112,3.6606801385402687,0.9531903306920948,0.9962573501314992
760,LQsS5XsBbrWx0LVuJIyY,tcp,127.0.0.1,127.0.0.1,1148,8088,112,3.7366383915319794,0.471512113400641,0.994130476558606
31,jAsR5XsBbrWx0LVu-IKD,tcp,127.0.0.1,127.0.0.1,26687,8088,112,3.749151338769965,0.9506107925199516,0.993567150177174
479,qQsS5XsBbrWx0LVuJYyB,tcp,127.0.0.1,127.0.0.1,1153,8088,112,3.760517317821215,0.9156578959772,0.9926353450846797
1713,tAsS5XsBbrWx0LVuOJHa,tcp,127.0.0.1,127.0.0.1,1221,8088,112,3.685407102748324,0.9404856884975245,0.992946963687377
1343,AQsS5XsBbrWx0LVuKo42,tcp,127.0.0.1,127.0.0.1,1159,8088,112,3.741991708474589,0.9299139505937352,0.9936032361755172
929,_QsS5XsBbrWx0LVuHIk6,tcp,127.0.0.1,127.0.0.1,1118,8088,112,3.654216525358579,0.926592668031343,0.9945245916413976
1732,3gsS5XsBbrWx0LVuOJHb,tcp,127.0.0.1,127.0.0.1,1222,8088,112,3.685672092088772,0.9529472861395692,0.9952191136507652
1284,wwsS5XsBbrWx0LVuH4o7,tcp,127.0.0.1,127.0.0.1,1138,8088,112,3.7304285530343466,0.9327858259824768,0.9936156453235652
765,PwsS5XsBbrWx0LVuJIyY,tcp,127.0.0.1,127.0.0.1,1149,8088,112,3.755955611275704,0.2335654882276279,0.9907797393467116
1723,iAsS5XsBbrWx0LVuOJHO,tcp,127.0.0.1,127.0.0.1,1220,8088,112,3.694081629128029,0.0604674605779204,0.9913167031764196
846,eQsS5XsBbrWx0LVuEofE,tcp,127.0.0.1,127.0.0.1,1091,8088,112,3.700889400758824,0.9456517363786836,0.995373036462658
1696,UwsS5XsBbrWx0LVuNpHl,tcp,127.0.0.1,127.0.0.1,1219,8088,112,3.7248700083790975,0.1181522057179396,0.9922582350957988
487,wQsS5XsBbrWx0LVuJYyB,tcp,127.0.0.1,127.0.0.1,1154,8088,112,3.663221430348466,0.9505991026238056,0.9956323519063186
755,GwsS5XsBbrWx0LVuJIyY,tcp,127.0.0.1,127.0.0.1,1147,8088,112,3.751911161061203,0.2357594389933108,0.9922033165619476
489,SwsS5XsBbrWx0LVuJYxW,tcp,127.0.0.1,127.0.0.1,1150,8088,112,3.725708880157202,0.4497289621890386,0.9915353037845104
491,VwsS5XsBbrWx0LVuJYxX,tcp,127.0.0.1,127.0.0.1,1151,8088,112,3.719357867477015,0.952933924779857,0.9950340381188398
902,MQsS5XsBbrWx0LVuGYlz,tcp,127.0.0.1,127.0.0.1,1110,8088,112,3.7291853840011577,0.9534668012638826,0.9964356849949344
742,-QsS5XsBbrWx0LVuJIsm,tcp,127.0.0.1,127.0.0.1,1146,8088,112,3.784332557363526,0.1169691870836296,0.9910806828819884
1535,EAsS5XsBbrWx0LVuMpDl,tcp,127.0.0.1,127.0.0.1,1182,8088,112,3.811578522349933,0.950570450648988,0.9955642118823962
1034,kwsS5XsBbrWx0LVuG4kL,tcp,127.0.0.1,127.0.0.1,1116,8088,112,3.7614965951952337,0.2345242272614313,0.9921522055262632
1414,oQsS5XsBbrWx0LVuLI47,tcp,127.0.0.1,127.0.0.1,1167,8088,112,3.733863584308431,0.9156577739503108,0.9927232975380412
557,QwsS5XsBbrWx0LVuJ41y,tcp,127.0.0.1,127.0.0.1,1157,8088,112,3.730098994848652,0.4565583289587588,0.9928867185266104
1546,IgsS5XsBbrWx0LVuMpDl,tcp,127.0.0.1,127.0.0.1,1183,8088,112,3.670869545891388,0.0037951620251576,0.9845672156458952
1026,ewsS5XsBbrWx0LVuG4kL,tcp,127.0.0.1,127.0.0.1,1114,8088,112,3.7205517346300905,0.9415620638657862,0.9944223629439236
1134,XwsS5XsBbrWx0LVuFYjr,tcp,127.0.0.1,127.0.0.1,1104,8088,112,3.675952697292753,0.0306042135834625,0.9899673784886404
1017,AQsS5XsBbrWx0LVuGInD,tcp,127.0.0.1,127.0.0.1,1109,8088,112,3.706003064772027,0.9512326947583456,0.9946306973784138
1015,YQsS5XsBbrWx0LVuG4kL,tcp,127.0.0.1,127.0.0.1,1113,8088,112,3.7133642222110015,0.9489607972554536,0.9958890485107816
1400,MQsS5XsBbrWx0LVuKo42,tcp,127.0.0.1,127.0.0.1,1162,8088,112,3.659874913307134,0.9531884049331224,0.9948113302960292
542,HQsS5XsBbrWx0LVuJ41y,tcp,127.0.0.1,127.0.0.1,1156,8088,112,3.757442913435699,0.9447874759345268,0.995118907636496
